"chamber","state","siteid","stream","year","month","date","processname","process","blanktype","chamber_size","origilsubstrate","substrate","test","amended_unamended","blank_not","air_not","light_dark","surface_area","temp_initial","temp_final","hour_rate","mean_blank_rate","mean_blank_rate_NAzero","correctedflux","correctedflux_nonegs"
"C1","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.016537725,10.6,11,1.435178365,NA,0,2429.89856343602,2429.89856343602
"C2","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.012750844,10.6,11.1,1.725680527,NA,0,3789.47893613944,3789.47893613944
"G4","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.018789724,10.6,11.1,-2.058550228,NA,0,-3067.60261002237,0
"C6","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.012825071,10.7,11,0.6517322115,NA,0,1422.87726297967,1422.87726297967
"C7","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019479162,10.7,11,0.486909182,NA,0,699.89956939626,699.89956939626
"G3","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.017988536,10.8,11.1,-0.6441449947,NA,0,-1002.64189657235,0
"D1","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.016236284,22,22.7,5.322722648,NA,0,9179.20837945431,9179.20837945431
"D9","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.015084831,22,22.5,6.005546136,NA,0,11147.3102885939,11147.3102885939
"G5","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.018249994,22.2,22.5,5.419331519,NA,0,8314.59355723624,8314.59355723624
"D10","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019085597,22.3,22.5,5.441658676,NA,0,7983.32076947868,7983.32076947868
"D3","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.012845895,22.1,22.6,6.737868319,NA,0,14686.4280715357,14686.4280715357
"D4","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.021108635,22.1,22.6,4.366831692,NA,0,5792.47721967811,5792.47721967811
"D12","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.016023052,21.6,24.1,-0.02827370243,0.01160961033,0.01160961033,-69.6953837059257,0
"D9","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.014983546,21.2,24.4,0.01000993654,0.01160961033,0.01160961033,-2.9893368445627,0
"G2","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.012195538,21.4,24,-0.01043688945,0.01160961033,0.01160961033,-50.6170366440578,0
"D1","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019150899,21.9,24.7,0,0,0,0,0
"D2","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.013882736,21.9,24.6,-0.3117462744,0,0,-628.759034472744,0
"D6","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.027553573,22,24.4,-0.0340355358,0,0,-34.5869845046956,0
"C1","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.01558023,13.1,15.3,NA,NA,0,NA,NA
"C11","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.013773024,13.3,15.8,NA,NA,0,NA,NA
"C3","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.01354146,13.4,15.6,NA,NA,0,NA,NA
"C10","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.014482818,13.9,15.8,NA,NA,0,NA,NA
"G4","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019171989,14.7,16.1,NA,NA,0,NA,NA
"G5","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.013898874,14.5,16.3,NA,NA,0,NA,NA
"C11","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.029066318,6.4,7.5,-3.239264012,-0.2609762964,-0.2609762964,-2869.02716872498,0
"C4","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.012911925,6.2,7.3,0.7040167903,-0.2609762964,-0.2609762964,2092.62417707662,2092.62417707662
"G1","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.017281824,6,7.7,-2.641486064,-0.2609762964,-0.2609762964,-3856.90037653433,0
"C12","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.013903309,6,7.6,-0.3740120146,NA,0,-753.226185852591,0
"C2","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.01297491,6.2,7.3,0.4299224302,NA,0,927.777383087821,927.777383087821
"G2","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.015641695,6.5,7.8,0.4189090947,NA,0,749.883861793751,749.883861793751
"C4","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.017667293,7.1,8.5,1.493522941,NA,0,2367.00904592458,2367.00904592458
"G1","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.01730072,7.3,8.7,-3.945474444,NA,0,-6385.47323070947,0
"C3","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.016765347,7.3,8.4,-2.689130363,NA,0,-4491.14773252233,0
"C8","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.012963573,7.6,8.7,-3.315451884,NA,0,-7161.03907094132,0
"G10","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.010173561,12.2,14.5,-1.767765536,NA,0,-4865.30085267096,0
"G12","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.012363374,12.5,14.4,-1.856643502,NA,0,-4204.84068960463,0
"G4","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.013474438,12.1,14.4,-0.4969510778,NA,0,-1032.6686855808,0
"C4","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.015187016,13.7,14.9,-2.616140025,NA,0,-4823.32544457713,0
"C6","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.014527089,14.2,15.4,-1.742350889,NA,0,-3358.26571255948,0
"G3","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.016833726,12.3,14.3,-3.697333317,NA,0,-6149.87631829103,0
"D3","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.015244755,21.2,21.7,0,-0.02248544084,-0.02248544084,41.2989479673501,41.2989479673501
"D9","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.017671602,21.2,21.8,0.001254186079,-0.02248544084,-0.02248544084,37.6145611321486,37.6145611321486
"D11","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.020662181,22.7,22,-0.003180328202,0.004095946485,0.004095946485,-9.86031877447981,0
"D12","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.02043962,22.2,21.9,-0.006058045683,0.004095946485,0.004095946485,-13.9098369100795,0
"D3","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.016163356,20.5,21,0.09651899044,-0.3365075623,-0.3365075623,750.137748418088,750.137748418088
"G2","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.019035576,20.7,21.2,0.2172077306,-0.3365075623,-0.3365075623,814.476441437864,814.476441437864
"D11","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.022808246,21.3,21,-0.06092914901,-0.1693742283,-0.1693742283,133.130018858969,133.130018858969
"G1","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019880426,21.2,21.1,0.3219023942,-0.1693742283,-0.1693742283,691.924077985049,691.924077985049
"D10","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.019710633,12.2,12.8,-20.00643788,0,0,-28420.2065271065,0
"D2","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.021735004,11.5,12.5,0,0,0,0,0
"D9","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.015959083,12,12.8,0,0,0,0,0
"D5","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.018311298,12.2,12.7,0,0,0,0,0
"D7","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.020504922,12.1,12.7,0,0,0,0,0
"G1","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.01915623,12,12.8,0,0,0,0,0
"D2","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.017849699,23.9,28.4,-0.5470231413,NA,0,-858.089985517403,0
"D6","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.015475312,24,27.7,-1.471693053,NA,0,-2662.78350213553,0
"D12","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.035014027,25,27.8,-1.41015376,NA,0,-1127.67106965446,0
"D9","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.01470901,25.9,27.8,1.023258112,NA,0,1947.86917243241,1947.86917243241
"D1","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.014390495,17.6,19.9,-0.0379472605,NA,0,-73.8350761387986,0
"D6","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.013762793,17.3,19.8,-0.5999718435,NA,0,-1220.62517528237,0
"D8","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.016929288,17.5,20.6,-1.680307821,NA,0,-2779.12567781941,0
"D9","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.021379173,18.5,20,0.476823433,-0.5937113234,-0.5937113234,1402.06420422343,1402.06420422343
"G4","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.019969177,18.2,20.3,-1.806021341,-0.5937113234,-0.5937113234,-1699.85375425337,0
"C1","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.011590538,12.3,14.4,-0.7490035994,-0.7202237615,-0.7202237615,-69.5252852973692,0
"C8","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Dark",0.013806229,12.7,14,-0.2255591911,-0.7202237615,-0.7202237615,1003.21441656516,1003.21441656516
"C7","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.012843706,14,14.3,0.6981022425,NA,0,1521.9020732801,1521.9020732801
"D2","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Dark",0.008885408,13.3,14.5,-0.583912986,NA,0,-1840.04646809691,0
"F5","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_amended","denitrification","large Rock","large","Rock Flock","Rock","DA","amended","not","not","Light",0.01522507,18,18.4,0,0,0,0,0
"G1","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_amended","denitrification","large Rock","large","Rock Flock","Rock","DA","amended","not","not","Light",0.01801748,18.1,18.6,0.5561944694,0,0,864.352014998768,864.352014998768
"F11","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_unamended","denitrification","large Rock","large","Rock Flock","Rock","DU","unamended","not","not","Light",0.01544077,17.9,18.4,0.1927227565,0,0,349.479798092971,349.479798092971
"F12","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_unamended","denitrification","large Rock","large","Rock Flock","Rock","DU","unamended","not","not","Light",0.018163013,18.1,18.2,0.5652592936,0,0,871.400588701885,871.400588701885
"D1","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_amended","denitrification","large Rock","large","Rock Flock","Rock","DA","amended","not","not","Dark",0.017456647,20.2,20.8,0.3464924819,0.01215111046,0.01215111046,536.274715317323,536.274715317323
"D12","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_amended","denitrification","large Rock","large","Rock Flock","Rock","DA","amended","not","not","Dark",0.025522316,20.4,20.7,0.01232031713,0.01215111046,0.01215111046,0.185633104769959,0.185633104769959
"D5","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_amended","denitrification","large Rock","large","Rock Flock","Rock","DA","amended","not","not","Dark",0.022870392,20.2,20.8,0.01926489171,0.01215111046,0.01215111046,8.70933366599051,8.70933366599051
"D10","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_unamended","denitrification","large Rock","large","Rock Flock","Rock","DU","unamended","not","not","Dark",0.018568702,20.4,20.6,0,0,0,0,0
"D3","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_unamended","denitrification","large Rock","large","Rock Flock","Rock","DU","unamended","not","not","Dark",0.019167903,20.6,20.6,0.03685164081,0,0,53.8319680916582,53.8319680916582
"D8","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"denitrification_unamended","denitrification","large Rock","large","Rock Flock","Rock","DU","unamended","not","not","Dark",0.013489881,20.2,20.6,0,0,0,0,0
"1","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,24.7,23.6,7.0203821e-05,-0.000261346202,-0.000261346202,0.682132517719397,0.682132517719397
"22","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,25.4,26.8,-8.001142e-06,-0.000321125168,-0.000321125168,0.644222788106438,0.644222788106438
"32","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,26.1,27.2,-0.000388844372,-0.000321125168,-0.000321125168,-0.139325796766642,0
"6","CO","Arikaree River 2019-05-24","Arikaree River",2019,"May",2019-05-24,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,16.8,21.3,0.2616694981,-0.001108760556,-0.001108760556,540.641178537744,540.641178537744
"14","CO","Arikaree River 2019-05-24","Arikaree River",2019,"May",2019-05-24,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,17.8,21.1,0.1123906616,-0.001108760556,-0.001108760556,233.514224774971,233.514224774971
"16","CO","Arikaree River 2019-05-24","Arikaree River",2019,"May",2019-05-24,"Nfixation_unamended","Nfixation","small Other","small","Algae","Other","NF","unamended","not","not","Light",0.00453646,18.3,21.6,0.1721086866,-0.001108760556,-0.001108760556,356.378359658412,356.378359658412
"2","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","small Rock","small","Bedrock scrape","Rock","NF","unamended","not","not","Light",0.00453646,20.3,20.2,-0.01671,-0.016095,-0.016095,-1.26530378312605,0
"4","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","small Rock","small","Bedrock scrape","Rock","NF","unamended","not","not","Light",0.00453646,20.2,20.1,-0.01922,-0.016095,-0.016095,-6.42938914190066,0
"9","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","small Rock","small","Bedrock scrape","Rock","NF","unamended","not","not","Light",0.00453646,20.2,20.1,-0.01661,-0.016095,-0.016095,-1.05956333058523,0
"10","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","small Rock","small","Bedrock scrape","Rock","NF","unamended","not","not","Light",0.00453646,20.2,20.2,-0.01858,-0.016095,-0.016095,-5.11265024563941,0
"20","NC","Eno River 2017-06-04","Eno River",2017,"June",2017-06-04,"Nfixation_unamended","Nfixation","small Sediment","small","Clay","Sediment","NF","unamended","not","not","Light",NA,NA,NA,NA,-0.00068,-0.00068,NA,NA
"21","NC","Eno River 2017-06-04","Eno River",2017,"June",2017-06-04,"Nfixation_unamended","Nfixation","small Sediment","small","Clay","Sediment","NF","unamended","not","not","Light",0.003216991,23.8,25.8,0.00057,-0.00068,-0.00068,3.62657734095826,3.62657734095826
"6","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","small Other","small","CPOM","Other","NF","unamended","not","not","Light",0.00453646,22.8,23.6,-0.000300226992,-0.000261346202,-0.000261346202,-0.0799935132974463,0
"13","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","small Other","small","CPOM","Other","NF","unamended","not","not","Light",0.00453646,22.8,22.4,-0.000170341324,-0.0001773774835,-0.0001773774835,0.014476226396794,0.014476226396794
"12","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","small Rock","small","gravel","Rock","NF","unamended","not","not","Light",0.003216991,22.4,23.7,1.5120725e-05,-0.000261346202,-0.000261346202,0.80210295438605,0.80210295438605
"21","CO","Arikaree River 2017-07-11","Arikaree River",2017,"July",2017-07-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,34.3,32.3,0.44686,-0.00116,-0.00116,921.758375473387,921.758375473387
"22","CO","Arikaree River 2017-07-11","Arikaree River",2017,"July",2017-07-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,32.6,32.1,0.42921,-0.00116,-0.00116,885.445185599932,885.445185599932
"2","CO","Arikaree River 2017-07-11","Arikaree River",2017,"July",2017-07-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,24.8,29.5,0.00156,-0.00116,-0.00116,5.59614030911033,5.59614030911033
"3","CO","Arikaree River 2017-07-11","Arikaree River",2017,"July",2017-07-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,25.8,29.1,0.01629,-0.00116,-0.00116,35.9017089683733,35.9017089683733
"2","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,15.9,17.1,-0.00165,-0.001715,-0.001715,0.133731294151534,0.133731294151534
"9","ID","South Fork Mink Creek 2017-07-27","South Fork Mink Creek",2017,"July",2017-07-27,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,16,16.8,-0.00139,-0.001715,-0.001715,0.668656470757669,0.668656470757669
"25","WI","Brewery Creek 2017-08-11","Brewery Creek",2017,"August",2017-08-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,15.5,18.4,-0.001,-0.001,-0.001,0,0
"26","WI","Brewery Creek 2017-08-11","Brewery Creek",2017,"August",2017-08-11,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,15.5,18.4,-0.00127,-0.001,-0.001,-0.555499221860217,0
"23","MT","Blaine Creek 2019-08-10","Blaine Creek",2019,"August",2019-08-10,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,17,21.4,9.685184e-06,-2.2528909e-05,-2.2528909e-05,0.066277420720121,0.066277420720121
"28","MT","Blaine Creek 2019-08-10","Blaine Creek",2019,"August",2019-08-10,"Nfixation_unamended","Nfixation","small Macrophyte","small","Macrophyte","Macrophyte","NF","unamended","not","not","Light",0.00453646,17.4,22.6,0.00015591925,-2.2528909e-05,-2.2528909e-05,0.367140049877364,0.367140049877364
"5","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","small Rock","small","Pebble","Rock","NF","unamended","not","not","Light",0.003216991,22.8,22.5,-0.000176466977,-0.0001773774835,-0.0001773774835,0.00264161779335625,0.00264161779335625
"9","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","small Rock","small","Pebble","Rock","NF","unamended","not","not","Light",0.003216991,23.2,22.4,-0.000164758674,-0.0001773774835,-0.0001773774835,0.0366104708820551,0.0366104708820551
"4","TX","Pringle Creek 2018-06-09","Pringle Creek",2018,"June",2018-06-09,"Nfixation_unamended","Nfixation","small Rock","small","Pebble","Rock","NF","unamended","not","not","Light",0.003216991,26.8,31.1,0.00496,-0.00405,-0.00405,26.1403694736272,26.1403694736272
